stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,stop_timezone,label,agency_id,attribute
6260,[KMB] UPTOWN PLAZA,22.443379999999998,114.16918999999999,6260,0,Asia/Hong_Kong,FB,,0.9468051363779565
13077,"[CTB] MODY ROAD, CHATHAM ROAD SOUTH|[NWFB] MODY ROAD, CHATHAM ROAD SOUTH",22.298470000000002,114.17558000000001,13077,0,Asia/Hong_Kong,FB,,0.9667016537797661
9662,"[CTB] LUNG TAK STREET, TEXACO ROAD|[KMB] LUNG TAK STREET TSUEN WAN|[LWB] LUNG TAK STREET TSUEN WAN",22.36488,114.11541000000001,9662,0,Asia/Hong_Kong,FB,,0.9725183130209837
9494,[KMB] KWAI TSING THEATRE|[LWB] KWAI TSING THEATRE,22.35631,114.12585,9494,0,Asia/Hong_Kong,FB,,0.9648747698484169
9122,"[CTB] LA SALLE ROAD, PRINCE EDWARD ROAD WEST|[KMB] LA SALLE ROAD",22.3264,114.18261000000001,9122,0,Asia/Hong_Kong,FB,,0.9145444499711878
6627,[KMB] LUNG FUNG GARDEN,22.50306,114.12942,6627,0,Asia/Hong_Kong,FB,,0.8763310812640777
9216,"[CTB] YEN CHOW STREET, CHEUNG SHA WAN ROAD|[KMB] YEN CHOW STREET SHAM SHUI PO|[NLB] YEN CHOW STREET",22.33126,114.16143000000001,9216,0,Asia/Hong_Kong,FB,,0.9647347558405267
9681,[KMB] YEUNG UK ROAD MARKET,22.368370000000002,114.11518999999998,9681,0,Asia/Hong_Kong,FB,,0.9001949219746733
12499,[KMB+CTB] PO TAI STREET/<BR>PO TAI STREET|[KMB] PO TAI STREET|[LWB] PO TAI STREET|[NWFB] PO TAI STREET,22.4141,114.22363,12499,0,Asia/Hong_Kong,FB,,0.8920799281173021
13391,[KMB] LONG PING ESTATE BUS TERMINUS,22.45099,114.02293999999999,13391,0,Asia/Hong_Kong,FB,,0.8966080700014929
