x,y,English Name,Type
114.2445821,22.26712308,"Fung Yip Street,  Outside Kailey Industrial Centre",GMB
114.2468977,22.26688558,"Sun Yip Street,  Outside Commercial Tower 8",GMB
114.2418085,22.26509853,"Chai Wan Road,  Outside Lok Hin Terrace",GMB
114.2346529,22.26424422,"Chai Wan Road,  Outside Hing Wah Estate Yu Hing House",GMB
114.2334928,22.267481,"Chai Wan Road,  Hing Man Estate",GMB
114.2327645,22.27197368,"Chai Wan Road,  Shau Kei Wan Primary School",GMB
114.2276612,22.27721308,No.426 Shau Kei Wan Road,GMB
114.2264857,22.27834688,No.362 Shau Kei Wan Road,GMB
114.2262047,22.27882284,No.326 Shau Kei Wan Road,GMB
114.2256374,22.27975956,No.286A Shau Kei Wan Road,GMB
114.2249207,22.28026142,No.250 Shau Kei Wan Road,GMB
114.2236553,22.28064209,No.200 Shau Kei Wan Road,GMB
114.2222522,22.28155503,No.136 Shau Kei Wan Road,GMB
114.2216819,22.28227965,No.102 Shau Kei Wan Road,GMB
114.2206001,22.28282849,No.173 Sai Wan Ho Street,GMB
114.2421463,22.26842651,"Beside Block 2,  Chai Wan Industrial City",GMB
114.2435192,22.26734333,Sheung On Street. Opposite to Chai Wan Fire Station,GMB
114.2456653,22.26789965,"Fung Yip Street,  near Sun Yip Street",GMB
114.2326441,22.26778587,"Hing Man Estate,  Outside Man Fu House",GMB
114.1860984,22.27853207,Pennington Street outside Lee Gardens Two,GMB
114.1933687,22.27708261,9 Tai Hang Road,GMB
114.1942702,22.27859319,Lai Tak Tsuen,GMB
114.1944802,22.27759969,Lai Tak Tsuen Road Between Yee King Road And Tai Hang Road,GMB
114.1933392,22.27709377,"Outside Grand Deco Tower,  Tai Hung Road",GMB
114.1952995,22.27612334,Tai Hang Road opposite True Light Middle School Hong Kong,GMB
114.1933755,22.27567552,27 Tai Hang Road,GMB
114.1917471,22.27567731,Tai Hang Road outside Wang Fung Terrace,GMB
114.1928416,22.27354289,Tai Hang Drive opposite Park Garden,GMB
114.1959833,22.27446287,"Opposite to Ronsdale Garden,  Tai Hang Drive",GMB
114.1928379,22.27354246,Tai Hang Drive outside Park Garden,GMB
114.1919567,22.27493725,Tai Hang Road opposite Wang Fung Terrace,GMB
114.1931646,22.27584271,"Manchester Lodge,  Tai Hang Road",GMB
114.1952996,22.27611625,Tai Hang Road outside True Light Middle School Hong Kong,GMB
114.1933392,22.27709377,"Outside Grand Deco Tower,  Tai Hang Road",GMB
114.1369881,22.25834402,"Claymore Avenue,  Pok Fu Lam Garden",GMB
114.1396011,22.25737392,"Chi Fu Road,  outside block no. 10",GMB
114.1397867,22.25519959,Yat Chee Villas,GMB
114.1361282,22.26064376,"Chinese Cuisine Training Institute,  Pok Fu Lam Road",GMB
114.135298,22.26263898,"Pok Fu Lam ReservoirRoad,  Pok Fu Lam Road",GMB
114.1325537,22.26674184,"Ebenezer School,  Pok Fu Lam Road",GMB
114.1308285,22.26892563,"Pok Fu Lam Road,  opposite Queen Mary Hospital",GMB
114.1298797,22.27408306,"Pok Fu Lam Road,  Kai Ming Temple",GMB
114.1336079,22.28425932,"Pok Fu Lam Road,  The Belcher^s",GMB
114.1342773,22.28436721,Pok Fu Lam Road western end of bus bay west of Hill Road flyover,GMB
114.1412467,22.28476976,"Bonham Road,  house no. 53",GMB
114.1442675,22.28420082,"Bonham Road,  Kenyon Street",GMB
114.1458148,22.28480774,"Bonham Road,  Parkway Court",GMB
114.1488152,22.28313413,"Ladder Street,  Caine Road",GMB
114.1502521,22.28277993,"Caine Road,  Kin Yuen Mansion",GMB
114.1516336,22.28163353,Caine Road No.79,GMB
114.1538334,22.28189568,"Old Bailey Street,  near no. 22 Hollywood Road",GMB
114.1540937,22.28195846,"Hollywood Road,  outside Aus Building",GMB
114.1548644,22.28158767,"Hollywood Road,  outside Post Office",GMB
114.1548984,22.28063915,"Wyndham Street,  house no. 41",GMB
114.155857,22.28017799,"Wyndham Street,  Fringe Club",GMB
114.1575202,22.28064144,"New World Tower,  Queen^s Road Central",GMB
114.1580636,22.28229826,Pedder Street outside World Wide House,GMB
114.1604004,22.27770038,"Hong Kong Squash Centre,  Cotton Tree Drive.",GMB
114.1574348,22.27652716,"Kennedy Heights,  Kennedy Road",GMB
114.1542649,22.2793749,"Caritas Centre,  Caine Road",GMB
114.1522312,22.28107196,"Shelley Street,  CaineRoad",GMB
114.1505085,22.28268856,"Shing Wong Street,  Caine Road",GMB
114.1450253,22.28491282,"Euston Court,  Bonham Road",GMB
114.142128,22.28441266,"Centre Street,  Bonham Road",GMB
114.1390015,22.28392095,"University of Hong Kong East Gate,  Pok Fu Lam Road",GMB
114.1325449,22.28206368,"Pokfield Road Bus Terminus,  Pok Fu Lam Road",GMB
114.1310763,22.27833637,"Pok Fu Lam Playground,  Pok Fu Lam Road",GMB
114.1308073,22.2722168,"Queen Mary Hospital,  Pok Fu Lam Road",GMB
114.1364775,22.26064503,"Pok Fu Lam Village,  Pok Fu Lam Road",GMB
114.1396002,22.25737504,"Chi Fu Road,  outside block no. 9",GMB
114.1601475,22.28675548,Central (Central Ferry Piers),GMB
114.135298,22.26263898,"Pok Fu Lam Reservoir\nRoad,  Pok Fu Lam Road",GMB
114.1325537,22.26674184,"Ebenezer School,  \nPok Fu Lam Road",GMB
114.1585748,22.28502614,Man Cheung Street,GMB
114.1325449,22.28206368,"Pokfield Road Bus Terminus,  \nPok Fu Lam Road",GMB
114.1308073,22.2722168,"Queen Mary Hospital,  \nPok Fu Lam Road",GMB
114.1289784,22.28119565,Kennedy Town Station,GMB
114.1292011,22.2804069,"Smithfield,  house no.12R",GMB
114.129955,22.2813947,"University Heights,  Pokfield Road",GMB
114.1308073,22.2722168,Queen Mary Hospital,GMB
114.1371022,22.25091313,"Wah Fu Commercial Complex,  Wah Fu Road",GMB
114.1361109,22.25194261,"Wah Ching House,  Wah Fu Road",GMB
114.1355992,22.25360254,"Wah Fu Road,  Outside Pui Ying Secondary School",GMB
114.1364962,22.25404574,Wah Fu (North) Bus Terminus,GMB
114.135298,22.26263898,"Pok Fu Lam Road , house no. 141",GMB
114.1306869,22.27759636,"Mount Davis Road,  Pok Fu Lam Road",GMB
114.1299109,22.28130865,"UniversityHeights,  Pokfield Road",GMB
114.1279594,22.28144164,Forbes Street Temporary Playground,GMB
114.1267185,22.28235339,"Belcher^s Street,  house no. 144-148",GMB
114.1384957,22.25652974,"Chi Fu Close,  Chi Fu Fa Yuen",GMB
114.1648405,22.27917565,"Drake Street,  near MTR exit",GMB
114.1676907,22.27768531,No.6 Queen^s Road East,GMB
114.1717739,22.27505006,No.186 Queen^s Road East,GMB
114.1739319,22.27440849,No.248 Queen^s Road East,GMB
114.1773911,22.27432113,"Stubbs Road,  Near Aia Building Access Road",GMB
114.1761208,22.2724503,Shiu Fai Terrace,GMB
114.1759907,22.27477851,"Queen^s Road East,  Near Wah Yan College Access Road",GMB
114.1727295,22.27459872,No.213 Queen^s Road East,GMB
114.171541,22.27808731,"Lockhart Road,  West Of Luard Road",GMB
114.1966563,22.27163279,"No.111 Mount Bulter Road,  Opposite Block M",GMB
114.1939452,22.26753863,"Mount Bulter Road,  outside Jardine Court",GMB
114.1874665,22.26279478,Tai Hang Road near Blue Pool Road,GMB
114.1798678,22.268704,"Stubbs Road,  outside Ling Nan College",GMB
114.1676907,22.27768531,No.6 Queen^s Road,GMB
114.1848238,22.26420522,"Stubbs Road,  opposite HK Adventist Hospital",GMB
114.1939749,22.26757181,"Mount Bulter Road,  opposite Jardine Court",GMB
114.1987449,22.28317384,Upper Braemar Hill Bus Terminus,GMB
114.1995336,22.28496305,"Braemar Hill Road,  Outside Oxford Court",GMB
114.196585,22.28578885,"Cloud View Road,  Outside Broadview Terrace",GMB
