stop_u,stop_v,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
"Lei Pui Street Bus Terminus,  Outside Shek Chun House,  Shek Lei Estate",No.97-107 Wo Yi Hop Road,95.0,76.0,95.0,76.0
No.123 Wo Yi Hop Road,Shek Lei (II) Estate Shek Kai House,95.0,76.0,95.0,76.0
Shek Lei (II) Estate Shek Kai House,"Shek On House,  Shek Lei Estate",95.0,76.0,95.0,76.0
"Shek On House,  Shek Lei Estate","Wo Yi Hop Road,  Outside Grand Industrial Building",95.0,76.0,95.0,76.0
"Wo Yi Hop Road,  Outside Grand Industrial Building",Shek Lei Commercial Complex,95.0,76.0,95.0,76.0
Shek Lei Commercial Complex,"Wo Yi Hop Road,  Opposite North Kwai Chung Jockey Club Public Swimming Pool",95.0,76.0,95.0,76.0
"Wo Yi Hop Road,  Opposite North Kwai Chung Jockey Club Public Swimming Pool","Wo Yi Hop Road,  Near Tai Chuen Ping Street",95.0,76.0,95.0,76.0
"Wo Yi Hop Road,  Near Tai Chuen Ping Street","Wo Yi Hop Road,  Opposite Mrs. Wu York Yu Health Centre",95.0,76.0,95.0,76.0
Wo Yip Hop Road outside Chuk Shue House of Lei Muk Shue Estate,"Tai Wai Road,  bus bay Outside Green Villa Hotel",190.0,152.0,190.0,152.0
"Tai Wai Road,  bus bay Outside Green Villa Hotel","Mei Tin Street ,  bus bay outside Tai Wai Market",190.0,152.0,190.0,152.0
"Mei Tin Street ,  bus bay outside Tai Wai Market",Tai Wai Station Bus Terminus,190.0,152.0,190.0,152.0
Tai Wai Station Bus Terminus,Holford Garden,95.0,76.0,95.0,76.0
Holford Garden,Tai Wai Road outside Mei Fung House of Mei Lam Estate,95.0,76.0,95.0,76.0
Tai Wai Road outside Mei Fung House of Mei Lam Estate,"Wo Yi Hop Road,  Outside Ho Fung College Sponsored By Sik Sik Yuen",95.0,76.0,95.0,76.0
"Wo Yi Hop Road,  Outside North Kwai Chung Jockey Club Public Swimming Pool",opposite Grand Industrial Building,95.0,76.0,95.0,76.0
opposite Grand Industrial Building,"Lei Muk Road,  Opposite Kwai Po Building",95.0,76.0,95.0,76.0
"Shek Pai Street,  Outside Shing Yam House,  On Yam Estate","Lei Pui Street Bus Terminus,  Outside Shek Chun House,  Shek Lei Estate",95.0,76.0,95.0,76.0
"Wo Yi Hop Road,  Near Tai Chuen Ping Street","Wo Yi Hop Road,  Outside Chip Tak Weaving Factory Building",437.0,190.0,437.0,190.0
"Hing Ning Road,  Outside Metroplaza","Kwai Fuk Road,  opposite to Kwai Chung Sport Ground",76.0,76.0,76.0,76.0
"Kwai Fuk Road,  opposite to Kwai Chung Sport Ground","Kwai Fuk Road,  opposite Kwai Shing swimming pool",76.0,76.0,76.0,76.0
"Kwai Fuk Road,  opposite Kwai Shing swimming pool","Kwai Fuk Road,  outside Chun Shing Factory Estate",76.0,76.0,76.0,76.0
"Kwai Fuk Road,  outside Chun Shing Factory Estate","Wing Kei Road,  near Wing Hau Street",76.0,76.0,76.0,76.0
"Wing Kei Road,  near Wing Hau Street","Kwai Hei Street,  Near Wing Lap Street",76.0,76.0,76.0,76.0
"Kwai Hei Street,  Near Wing Lap Street","Kwai Hei Street,  near Kwai Chung Public Mortuary",76.0,76.0,76.0,76.0
"Kwai Hei Street,  near Kwai Chung Public Mortuary","Wing Shun Street,  near Tsuen Wan Abattoir",76.0,76.0,76.0,76.0
"Wing Shun Street,  near Tsuen Wan Abattoir","Yi Hong Street,  Outside Hoi Ngan Mansion,  Riviera Gardens",76.0,76.0,76.0,76.0
"Yi Hong Street,  Outside Hoi Ngan Mansion,  Riviera Gardens","Wing Shun Street,  near Tsuen Wan Abattoir",76.0,76.0,76.0,76.0
"Wing Shun Street,  near Tsuen Wan Abattoir","Kwai Hei Street,  near Kwai Chung Public Mortuary",76.0,76.0,76.0,76.0
"Kwai Hei Street,  near Kwai Chung Public Mortuary","Wing Kei Road,  near Wing Hau Street",76.0,76.0,76.0,76.0
"Wing Kei Road,  near Wing Hau Street","Kwai Fuk Road,  Opposite Chun Shing Factory Estate",76.0,76.0,76.0,76.0
"Kwai Fuk Road,  Opposite Chun Shing Factory Estate","Kwai Fuk Road,  Outside Kwai Shing Swimming Pool",570.0,285.29230769000003,370.5,311.6
"Kwai Fuk Road,  Outside Kwai Shing Swimming Pool","Kwai Fuk Road,  Outside Kwai Chung Sports Ground",826.5,437.29230769000003,560.5,463.6
"Kwai Fuk Road,  Outside Kwai Chung Sports Ground","Hing Ning Road,  Outside Metroplaza",76.0,76.0,76.0,76.0
"Tam Kok Shan Road,  Outside Cnec Lui Ming Choi Primary School","Princess Magaret Hospital Road,  Outside Block B,  Princess Magaret Hospital",285.0,114.0,285.0,114.0
"Princess Magaret Hospital Road,  Outside Block B,  Princess Magaret Hospital","Lai King Hill Road,  Outside Fire Services Department Kwai Chung Workshop",447.8571429,201.69230769,399.0,190.0
"Lai King Hill Road,  Outside Fire Services Department Kwai Chung Workshop","Kwai Fuk Road,  Opposite Chun Shing Factory Estate",285.0,114.0,285.0,114.0
"Kwai Fuk Road,  Opposite Chun Shing Factory Estate","Kwai Shing Circuit,  Outside Block 10,  Kwai Shing West Estate",712.5,342.0,684.0,342.0
"Kwai Shing Circuit,  Outside Block 10,  Kwai Shing West Estate","Lai King Hill Road Westbound,  Near Kwai Chung Hospital Road",285.0,114.0,285.0,114.0
"Lai King Hill Road Westbound,  Near Kwai Chung Hospital Road","Kwai Shing Circuit,  Opposite South Kwai Shing Jockey Club Polyclinic",285.0,114.0,285.0,114.0
"Kwai Shing Circuit,  Opposite South Kwai Shing Jockey Club Polyclinic","Lai King Hill Road,  Outside Salvation Army Lai King Home",285.0,114.0,285.0,114.0
"Lai King Hill Road,  Outside Salvation Army Lai King Home","Lai King Hill Road,  Outside On King House,  Lai King Estate",447.8571429,201.69230769,399.0,190.0
"Lai King Hill Road,  Outside On King House,  Lai King Estate","Kwai Shing Circuit,  Opposite Hk Institute Of Vocational Education (Kwai Chung)",285.0,114.0,285.0,114.0
"Kwai Shing Circuit,  Opposite Hk Institute Of Vocational Education (Kwai Chung)","Lai King Hill Road,  Outside Yin Lai Court Shopping Centre",285.0,114.0,285.0,114.0
"Lai King Hill Road,  Outside Yin Lai Court Shopping Centre","Kwai Shing Circuit,  Opposite Kwai Yat House,  Kwai Hong Court",285.0,114.0,285.0,114.0
"Kwai Shing Circuit,  Opposite Kwai Yat House,  Kwai Hong Court","Lai King Hill Road,  Outside Yat King House,  Lai King Estate",285.0,114.0,285.0,114.0
"Lai King Hill Road,  Outside Yat King House,  Lai King Estate",Sun Kwai Hing Gardens Block B,285.0,114.0,285.0,114.0
Sun Kwai Hing Gardens Block B,"Lai King Hill Road,  Outside Wo King House,  Lai King Estate",285.0,114.0,285.0,114.0
"Lai King Hill Road,  Outside Wo King House,  Lai King Estate","Hing Fong Road,  Outside Kwai Shun House,  Kwai Fong Estate",285.0,114.0,285.0,114.0
"Hing Fong Road,  Outside Kwai Shun House,  Kwai Fong Estate","Kwai Foo Road,  Outside Block E,  New Kwai Fong Gardens",285.0,114.0,285.0,114.0
"Kwai Foo Road,  Outside Block E,  New Kwai Fong Gardens",Hing Fong Road outside Kwai Hei House Kwai Fong Estate,285.0,114.0,285.0,114.0
Hing Fong Road outside Kwai Hei House Kwai Fong Estate,"Hing Ning Road,  Outside Kwai Chung Plaza",570.0,228.0,570.0,228.0
"Hing Ning Road,  Outside Kwai Chung Plaza",Hing Fong Road outside Che Fong Street,285.0,114.0,285.0,114.0
Hing Fong Road outside Che Fong Street,"Kwai Ming House,  Kwai Hong Court",285.0,114.0,285.0,114.0
"Kwai Ming House,  Kwai Hong Court","Lai King Hill Road,  Opposite Yin Lai Court Shopping Centre",285.0,114.0,285.0,114.0
"Lai King Hill Road,  Outside Lai King Community Hall","Kwai Shing Circuit,  Outside Kwai Yat House,  Kwai Hong Court",285.0,114.0,285.0,114.0
"Kwai Shing Circuit,  Outside Kwai Yat House,  Kwai Hong Court","Lai King Hill Road,  Opposite Winifred Mary Cheung Morninghope School",285.0,114.0,285.0,114.0
"Lai King Hill Road,  Opposite Winifred Mary Cheung Morninghope School","Kwai Shing Circuit,  Outside Hk Institute Of Vocational Education (Kwai Chung)",285.0,114.0,285.0,114.0
"Kwai Shing Circuit,  Outside Hk Institute Of Vocational Education (Kwai Chung)","Lai King Hill Road,  Near Block D,  Predischarge Annex",285.0,114.0,285.0,114.0
"Lai King Hill Road,  Near Block D,  Predischarge Annex",Kwai Shing Circuit Outside Po Leung Kuk Kwai Chung Integrated Rehabilitation Centre,285.0,114.0,285.0,114.0
Kwai Shing Circuit Outside Po Leung Kuk Kwai Chung Integrated Rehabilitation Centre,"Lai King Hill Road,  Opposite Fire Services Department Kwai Chung Workshop",285.0,114.0,285.0,114.0
"Lai King Hill Road,  Opposite Fire Services Department Kwai Chung Workshop","Kwai Shing Circuit,  Outside The Jockey Club Kwai Shing Public Squash Courts",285.0,114.0,285.0,114.0
"Kwai Shing Circuit,  Outside The Jockey Club Kwai Shing Public Squash Courts","Kwai Fuk Road,  Outside Chun Shing Factory Estate",427.5,228.0,399.0,228.0
"Kwai Fuk Road,  Outside Chun Shing Factory Estate","Princess Magaret Hospital Road,  Outside Block B,  Princess Magaret Hospital",285.0,114.0,285.0,114.0
"Princess Magaret Hospital Road,  Outside Block B,  Princess Magaret Hospital","Tam Kok Shan Road,  Outside Cnec Lui Ming Choi Primary School",285.0,114.0,285.0,114.0
"Tam Kok Shan Road,  Outside Cnec Lui Ming Choi Primary School","Liu To Road,  Opposite Hang Chui House,  Cheung Hang Estate",285.0,114.0,285.0,114.0
"Liu To Road,  Opposite Hang Chui House,  Cheung Hang Estate","Liu To Road,  Opposite Cheung Hang Estate Bus Terminus",285.0,114.0,285.0,114.0
"Liu To Road,  Opposite Cheung Hang Estate Bus Terminus","Liu To Road,  Cheung Wang Estate Bus Terminus",285.0,114.0,285.0,114.0
"Liu To Road,  Cheung Wang Estate Bus Terminus","Liu To Road,  Cheung Hang Estate Bus Terminus",285.0,114.0,285.0,114.0
"Liu To Road,  Cheung Hang Estate Bus Terminus","Liu To Road,  Outside Cheung Hang Estate Cheung Hang Shopping Centre",285.0,114.0,285.0,114.0
"Liu To Road,  Outside Cheung Hang Estate Cheung Hang Shopping Centre","Tam Kok Shan Road,  Outside Cnec Lui Ming Choi Primary School",285.0,114.0,285.0,114.0
"Tam Kok Shan Road,  Outside Cnec Lui Ming Choi Primary School","Kwai Fuk Road,  Opposite Chun Shing Factory Estate",285.0,114.0,285.0,114.0
"Kwai Shing Circuit,  Outside Block 10,  Kwai Shing West Estate","Kwai Shing Circuit,  Opposite South Kwai Shing Jockey Club Polyclinic",399.0,209.0,399.0,209.0
"Kwai Shing Circuit,  Opposite South Kwai Shing Jockey Club Polyclinic","Kwai Shing Circuit,  Opposite Hk Institute Of Vocational Education (Kwai Chung)",285.0,114.0,285.0,114.0
"Kwai Shing Circuit,  Opposite Hk Institute Of Vocational Education (Kwai Chung)","Kwai Shing Circuit,  Opposite Kwai Yat House,  Kwai Hong Court",285.0,114.0,285.0,114.0
"Kwai Shing Circuit,  Opposite Kwai Yat House,  Kwai Hong Court",Sun Kwai Hing Gardens Block B,285.0,114.0,285.0,114.0
Sun Kwai Hing Gardens Block B,"Hing Fong Road,  Outside Kwai Shun House,  Kwai Fong Estate",285.0,114.0,285.0,114.0
"Hing Fong Road,  Outside Kwai Shun House,  Kwai Fong Estate",Hing Fong Road outside Kwai Hei House Kwai Fong Estate,285.0,114.0,285.0,114.0
"Hing Ning Road,  Outside Kwai Chung Plaza","Lai King Hill Road,  Opposite Yin Lai Court Shopping Centre",285.0,114.0,285.0,114.0
"Lai King Hill Road,  Opposite Winifred Mary Cheung Morninghope School","Lai King Hill Road,  Near Block D,  Predischarge Annex",447.8571429,201.69230769,399.0,190.0
"Lai King Hill Road,  Near Block D,  Predischarge Annex","Lai King Hill Road,  Opposite Fire Services Department Kwai Chung Workshop",447.8571429,201.69230769,399.0,190.0
"Lai King Hill Road,  Opposite Fire Services Department Kwai Chung Workshop","Princess Magaret Hospital Road,  Outside Block B,  Princess Magaret Hospital",447.8571429,201.69230769,399.0,190.0
Kwai Fong Station,"Lai King Hill Road,  Opposite Yin Lai Court Shopping Centre",0,0,0,0
"Lai King Hill Road,  Outside Fire Services Department Kwai Chung Workshop","Lai King Hill Road Westbound,  Near Kwai Chung Hospital Road",162.8571429,87.69230769,114.0,76.0
"Lai King Hill Road Westbound,  Near Kwai Chung Hospital Road","Lai King Hill Road,  Outside Salvation Army Lai King Home",162.8571429,87.69230769,114.0,76.0
"Lai King Hill Road,  Outside On King House,  Lai King Estate","Lai King Hill Road,  Outside Yin Lai Court Shopping Centre",162.8571429,87.69230769,114.0,76.0
"Lai King Hill Road,  Outside Yin Lai Court Shopping Centre","Lai King Hill Road,  Outside Yat King House,  Lai King Estate",428.8571429,209.29230769,266.0,197.6
"Lai King Hill Road,  Outside Yat King House,  Lai King Estate","Lai King Hill Road,  Outside Wo King House,  Lai King Estate",713.8571429,399.29230769000003,456.0,387.6
"Lai King Hill Road,  Outside Wo King House,  Lai King Estate",Kwai Fong Station,162.8571429,87.69230769,114.0,76.0
"Public Light Bus (Schedule Services) Terminus in Hang Mei Street,  Tsing Yi","Liu To Road,  Cheung Hang Estate Bus Terminus",589.0,380.0,570.0,380.0
"Liu To Road,  Cheung Hang Estate Bus Terminus","Liu To Road,  outside Cheung Hang Estate Commercial Centre",494.0,323.0,494.0,323.0
"Liu To Road,  outside Cheung Hang Estate Commercial Centre","Tsing Luk Street,  outside S.K.H. Tsing Yi Estate Ho Chak Wan Primary School",494.0,323.0,494.0,323.0
"Tsing Luk Street,  outside S.K.H. Tsing Yi Estate Ho Chak Wan Primary School","Tsing Luk Street,  Outside Tsing Yi Garden",589.0,380.0,570.0,380.0
"Tsing Luk Street,  Outside Tsing Yi Garden","Tsing Luk Street,  Outside Tsing Yi Town Clinic",589.0,380.0,570.0,380.0
"Tsing Luk Street,  Outside Tsing Yi Town Clinic","Tsing King Road,  Outside St. Paul^s Village",589.0,380.0,570.0,380.0
"Tsing King Road,  Outside St. Paul^s Village","Tsing King Road,  Outside On Mei House Cheung On Estate",589.0,380.0,570.0,380.0
"Tsing King Road,  Outside On Mei House Cheung On Estate",No.88 Texaco Road,589.0,380.0,570.0,380.0
No.88 Texaco Road,"Tsuen Wan Market Street,  Outside Jockey Club Tak Wah Park",589.0,380.0,570.0,380.0
"Tsuen Wan Market Street,  Outside Jockey Club Tak Wah Park",No.275 Sha Tsui Road,114.0,95.0,114.0,95.0
No.275 Sha Tsui Road,"Tai Wo Hau Station,  Exit B",114.0,95.0,114.0,95.0
"Tai Wo Hau Station,  Exit B","Tsing King Road,  Outside Villa Esplanada Shopping Centre",494.0,323.0,494.0,323.0
"Tsing King Road,  Outside Villa Esplanada Shopping Centre","Tsing Luk Street,  Outside Tsing Yi Complex",589.0,380.0,570.0,380.0
"Tsing Luk Street,  Outside Tsing Yi Complex","Tsing Luk Street,  Opposite Block 1,  Tsing Yi Garden",494.0,323.0,494.0,323.0
"Tsing Luk Street,  Opposite Block 1,  Tsing Yi Garden","Liu To Road,  opposite Cheung Hang Commercial Centre",494.0,323.0,494.0,323.0
"Liu To Road,  opposite Cheung Hang Commercial Centre","Liu To Road,  opposite to Cheung Hang Estate Bus Terminus",589.0,380.0,570.0,380.0
"Liu To Road,  opposite to Cheung Hang Estate Bus Terminus","Public Light Bus (Schedule Services) Terminus in Hang Mei Street,  Tsing Yi",589.0,380.0,570.0,380.0
"Liu To Road,  Cheung Hang Estate Bus Terminus","Tsing Luk Street,  outside S.K.H. Tsing Yi Estate Ho Chak Wan Primary School",95.0,57.0,76.0,57.0
"Tsuen Wan Market Street,  Outside Jockey Club Tak Wah Park",Tai Ho Road outside Tsuen Wan West Station Exit E2,95.0,57.0,76.0,57.0
Tai Ho Road outside Tsuen Wan West Station Exit E2,No.67 Yeung Uk Road,95.0,57.0,76.0,57.0
No.67 Yeung Uk Road,"Yeung Uk Road,  opposite Indi House",95.0,57.0,76.0,57.0
"Yeung Uk Road,  opposite Indi House","Tsing King Road,  Outside Villa Esplanada Shopping Centre",95.0,57.0,76.0,57.0
"Tsing Luk Street,  Outside Tsing Yi Complex",Bus stop at Tsing Luk Street opposite Tsing Yi Garden,95.0,57.0,76.0,57.0
Bus stop at Tsing Luk Street opposite Tsing Yi Garden,"Liu To Road,  opposite Cheung Hang Commercial Centre",95.0,57.0,76.0,57.0
"Tsuen Wan Market Street,  Outside Jockey Club Tak Wah Park","Tai Wo Hau Station,  Exit B",380.0,228.0,380.0,228.0
"Old Stanley Police Station,  Stanley Village Road","Carmel Road,  outside Stanley Plaza",380.0,142.5,285.0,126.6666667
"Cypresswaver Villas,  Cape Road","opposite to Chung Hom Kok Fire Station,  Chung Hom Kok Road",380.0,142.5,285.0,126.6666667
"Hacienda,  Repulse Bay Road","Deepdene,  Island Road",380.0,142.5,285.0,126.6666667
"Deepdene,  Island Road","Deep Water Bay,  Island Road",608.0,237.5,513.0,221.6666667
"Deep Water Bay,  Island Road","The Hong Kong Country Club,  Island Road",608.0,237.5,513.0,221.6666667
"Wong Nai Chung Road,  Near Hau Tak Lane","Morrison Hill Road,  Leighton Road",380.0,142.5,285.0,126.6666667
127 Repulse Bay Road,"Chung Hom Kok Fire Station,  Chung Hom Kok Road",608.0,237.5,513.0,221.6666667
"Chung Hom Kok Fire Station,  Chung Hom Kok Road","Cape Drive,  Cape Road",608.0,237.5,513.0,221.6666667
"Cape Road,  opposite Leung Ma House","Cape Road,  opposite Chun Ma House",380.0,142.5,285.0,126.6666667
"Cape Road,  opposite Chun Ma House","Carmel Road,  Outside Stanley Plaza",380.0,142.5,285.0,126.6666667
"Carmel Road,  Outside Stanley Plaza","Stanley Village Road,  outside Stanley Village Bus Terminus",380.0,142.5,285.0,126.6666667
"Stanley Village Road,  outside Stanley Village Bus Terminus",Stanley Police Station,380.0,142.5,285.0,126.6666667
Lung Mun Oasis Public Transport Interchange,"D4 Road,  outside Glorious Garden",114.0,76.0,114.0,76.0
"D4 Road,  outside Glorious Garden","Lung Mun Road,  outside Glorious Garden",114.0,76.0,114.0,76.0
"Lung Mun Road,  outside Glorious Garden","Lung Mun Road,  outside Sun Tuen Mun Centre",912.0,389.5,912.0,389.5
"Lung Mun Road,  outside Sun Tuen Mun Centre","Wu Shan Road,  outside Hong Kong Jockey Club Tuen Mun Butterfly Beach Indoor Recreation Centre",114.0,76.0,114.0,76.0
"Wu Shan Road,  outside Hong Kong Jockey Club Tuen Mun Butterfly Beach Indoor Recreation Centre","Hang Fu Street,  Opposite Nerine Cove",114.0,76.0,114.0,76.0
"Hang Fu Street,  Opposite Nerine Cove","Hang Fu Street,  opposite Ching Chung Hau Po Woon Secondary School",114.0,76.0,114.0,76.0
"Hang Fu Street,  opposite Ching Chung Hau Po Woon Secondary School","Hang Fu Street,  opposite The Sea Crest",114.0,76.0,114.0,76.0
"Hang Fu Street,  opposite The Sea Crest","Hoi Wing Road,  Outside Siu Lun Court",114.0,76.0,114.0,76.0
"Hoi Wing Road,  Outside Siu Lun Court","Castle Peak Road - Castle Peak Bay,  outside CSBS Mrs. Aw Boon Haw Secondary School",114.0,76.0,114.0,76.0
"Castle Peak Road - Castle Peak Bay,  outside CSBS Mrs. Aw Boon Haw Secondary School","Castle Peak Road - Castle Peak Bay,  outside Tsing Sin Playground",752.69230769,600.69230769,752.69230769,600.69230769
"Castle Peak Road - Castle Peak Bay,  outside Tsing Sin Playground","Castle Peak Road-Castle Peak Bay,  Outside Block 8,  Chi Lok Fa Yuen",752.69230769,600.69230769,752.69230769,600.69230769
"Castle Peak Road-Castle Peak Bay,  Outside Block 8,  Chi Lok Fa Yuen","Tsing Wui Circuit,  outside Yan Oi Market",114.0,76.0,114.0,76.0
"Tsing Wui Circuit,  outside Yan Oi Market","Tsing Hoi Circuit,  Outside Tuen Mun Fa Yuen",114.0,76.0,114.0,76.0
"Tsing Hoi Circuit,  Outside Tuen Mun Fa Yuen",Castle Peak Road - Castle Peak Bay outside Hoi Tak Gardens,114.0,76.0,114.0,76.0
Castle Peak Road - Castle Peak Bay outside Hoi Tak Gardens,"Hoi Wing Road,  outside Hanford Garden",114.0,76.0,114.0,76.0
"Hoi Wing Road,  outside Hanford Garden","Hang Kwai Street,  Outside The Sea Crest",114.0,76.0,114.0,76.0
"Hang Kwai Street,  Outside The Sea Crest","Hang Fu Street,  Outside Nerine Cove",114.0,76.0,114.0,76.0
"Hang Fu Street,  Outside Nerine Cove","Wu Shan Road,  Outside Yeh King House of Siu Shan Court",114.0,76.0,114.0,76.0
"Wu Shan Road,  Outside Yeh King House of Siu Shan Court","Lung Mun Road,  opposite Sun Tuen Mun Centre",114.0,76.0,114.0,76.0
"Lung Mun Road,  opposite Sun Tuen Mun Centre",Lung Mun Oasis Public Transport Interchange,114.0,76.0,114.0,76.0
Princess Magaret Hospital Specialist Out-patient Clinic,"Lim Cho Street,  Opposite Kai Lim House,  Cho Yiu Chuen",76.0,57.0,45.6,38.0
"Lim Cho Street,  Opposite Kai Lim House,  Cho Yiu Chuen","Lim Cho Street,  Outside Kai Hang House,  Cho Yiu Chuen",712.5,368.6,482.6,349.6
"Lim Cho Street,  Outside Kai Hang House,  Cho Yiu Chuen","Lim Cho Street,  Opposite Kai Min Lau,  Cho Yiu Chuen",570.0,292.6,340.1,273.6
"Lim Cho Street,  Opposite Kai Min Lau,  Cho Yiu Chuen","Lai Chi Ling Road,  Opposite Tsui Yiu Court",76.0,57.0,45.6,38.0
"Lai Chi Ling Road,  Opposite Tsui Yiu Court","Wa Tai Road,  Opposite Caltex Petrol Station",218.5,133.0,188.1,114.0
"Wa Tai Road,  Opposite Caltex Petrol Station","Castle Peak Road-Kwai Chung,  Outside Man Shing Industrial Building",76.0,57.0,45.6,38.0
"Castle Peak Road-Kwai Chung,  Outside Man Shing Industrial Building","Wo Yi Hop Road,  Near Tai Chuen Ping Street",76.0,57.0,45.6,38.0
"Wo Yi Hop Road,  Near Tai Chuen Ping Street","Shek Lei Commercial Centre,  Phase 2",76.0,57.0,45.6,38.0
"Lei Pui Street Bus Terminus,  Outside Shek Chun House,  Shek Lei Estate","Lei Pui Street,  Outside Shek Kai House,  Shek Lei Estate",494.0,228.0,433.2,190.0
"Lei Pui Street,  Outside Shek Kai House,  Shek Lei Estate","Shek Pai Street,  Outside Sheung Kwai Chung Government Secondary Technical School",76.0,57.0,45.6,38.0
"Shek Pai Street,  Outside Sheung Kwai Chung Government Secondary Technical School",On Yam Estate Bus Terminus,76.0,57.0,45.6,38.0
On Yam Estate Bus Terminus,"Lei Muk Road,  Near Tung Chi Street",76.0,57.0,45.6,38.0
"Lei Muk Road,  Near Tung Chi Street","Shek Pai Street,  Outside Shing Yam House,  On Yam Estate",76.0,57.0,45.6,38.0
On Yam Estate Bus Terminus,"Lei Pui Street Bus Terminus,  Outside Shek Chun House,  Shek Lei Estate",76.0,57.0,45.6,38.0
"Lei Pui Street,  Outside Shek Kai House,  Shek Lei Estate","Wai Kek Street,  Outside Shek On House,  Shek Lei Estate",418.0,171.0,387.6,152.0
"Wai Kek Street,  Outside Shek On House,  Shek Lei Estate","Castle Peak Road-Kwai Chung,  Near Lamp Post No.w1464",76.0,57.0,45.6,38.0
"Castle Peak Road-Kwai Chung,  Near Lamp Post No.w1464","Castle Peak Road-Kwai Chung,  Outside Greenknoll Court",76.0,57.0,45.6,38.0
"Castle Peak Road-Kwai Chung,  Outside Greenknoll Court","Lai Chi Ling Road,  Outside Tsui Yiu Court",76.0,57.0,45.6,38.0
"Lai Chi Ling Road,  Outside Tsui Yiu Court","Lai Chi Ling Road,  Opposite Disciplined Services Quarters",361.0,247.0,235.6,228.0
"Lai Chi Ling Road,  Opposite Disciplined Services Quarters","Lim Cho Street,  Outside Kai Min Lau,  Cho Yiu Chuen",76.0,57.0,45.6,38.0
"Lim Cho Street,  Outside Kai Min Lau,  Cho Yiu Chuen","Lim Cho Street,  Outside Kai Lim House,  Cho Yiu Chuen",76.0,57.0,45.6,38.0
"Lim Cho Street,  Outside Kai Lim House,  Cho Yiu Chuen",Princess Magaret Hospital Specialist Out-patient Clinic,76.0,57.0,45.6,38.0
"Lai Kong Street,  Outside Block 1,  Highland Park","Lai Yiu Street,  Outside Fu Yiu House,  Lai Yiu Estate",142.5,76.0,142.5,76.0
"Lai Yiu Street,  Outside Fu Yiu House,  Lai Yiu Estate","King Cho Road,  Outside Cho Yiu Chuen Market",142.5,76.0,142.5,76.0
"King Cho Road,  Outside Cho Yiu Chuen Market",Tung Chau West Street,142.5,76.0,142.5,76.0
Tung Chau West Street,No.576 Castle Peak Road,142.5,76.0,142.5,76.0
No.576 Castle Peak Road,No.458a Castle Peak Road,142.5,76.0,142.5,76.0
No.458a Castle Peak Road,"Castle Peal Road,  near Hing Wah Street Lamp Post E8741",142.5,76.0,142.5,76.0
"Castle Peal Road,  near Hing Wah Street Lamp Post E8741",No.238 Castle Peak Road,256.5,133.0,256.5,133.0
No.238 Castle Peak Road,Cronin Garden,142.5,76.0,142.5,76.0
Cronin Garden,"Un Chau Street,  near Kiu Kiang Street",142.5,76.0,142.5,76.0
"Un Chau Street,  near Kiu Kiang Street","Hing Wah Street,  Outside Un Hong House,  Un Chau Estate",142.5,76.0,142.5,76.0
"Hing Wah Street,  Outside Un Hong House,  Un Chau Estate","Cheung Sha Wan Road,  Outside Cheung Sha Wan Plaza",142.5,76.0,142.5,76.0
"Cheung Sha Wan Road,  Outside Cheung Sha Wan Plaza","Lai King Hill Road,  Outside Winifred Mary Cheung Morninghope School",142.5,76.0,142.5,76.0
"Lai King Hill Road,  Outside Winifred Mary Cheung Morninghope School","Lai Kong Street,  Outside Block 1,  Highland Park",142.5,76.0,142.5,76.0
Kwai Chung Estate Bus Terminus,"Kwai Chung Road,  Outside Tak Cheong Building",95.0,63.33333333,95.0,63.33333333
"Kwai Chung Road,  Outside Tak Cheong Building",Cheung Wing Road outside Lamp Post FA6334,95.0,63.33333333,95.0,63.33333333
Cheung Wing Road outside Lamp Post FA6334,"Lei Muk Road,  Opposite Kwai Po Building",95.0,63.33333333,95.0,63.33333333
"Lei Muk Road,  Opposite Kwai Po Building",Lei Muk Road outside Lamp Post AC0237,95.0,63.33333333,95.0,63.33333333
Lei Muk Road outside Lamp Post AC0237,Tai Pak Tin Street near Shek Yam East Estate,95.0,63.33333333,95.0,63.33333333
Tai Pak Tin Street near Shek Yam East Estate,Shek Lei Commercial Centre,95.0,63.33333333,95.0,63.33333333
"Wo Yi Hop Road,  Near Tai Chuen Ping Street",Wo Yi Hop Road outside House No. 75-87,95.0,63.33333333,95.0,63.33333333
Wo Yi Hop Road outside House No. 75-87,Wo Yi Hop Road outside House No. 97-107,95.0,63.33333333,95.0,63.33333333
Wo Yi Hop Road outside House No. 97-107,"Wo Yi Hop Road,  Outside Riley House",95.0,63.33333333,95.0,63.33333333
"Wo Yi Hop Road,  Outside Riley House",Wo Yi Hop Road outside Victory Industrial Building,95.0,63.33333333,95.0,63.33333333
Wo Yi Hop Road outside Victory Industrial Building,"Cheung Wing Road,  Outside Tung Chun Industrial Building",95.0,63.33333333,95.0,63.33333333
"Cheung Wing Road,  Outside Tung Chun Industrial Building",Castle Peak Road-Kwai Chung near Esso Petrol Station,95.0,63.33333333,95.0,63.33333333
Castle Peak Road-Kwai Chung near Esso Petrol Station,Kwai Chung Estate Bus Terminus,95.0,63.33333333,95.0,63.33333333
"Tat Chee Avenue,  Ground Floor Of The Festival Walk","Tat Chee Avenue,  Opposite Tower 18,  Parc Oasis",285.0,256.5,285.0,256.5
