stop_u,stop_v,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
"Lung Cheung Road,  Outside Hung Ngok House,  Choi Hung Estate","Prince Edward Road East,  Near Lamp Post No.KHM33",95.0,76.0,95.0,57.0
"Prince Edward Road East,  Near Lamp Post No.KHM33","Kwun Tong Road,  Outside St. Joseph^s Anglo-chinese Primary School",95.0,76.0,95.0,57.0
"Chung Wa Road,  Opposite Block 6,  East Point City","Ngan O Road,  Outside Yuk Ming Court",95.0,76.0,95.0,57.0
Hang Hau Station Public Transport Interchange,"Po Ning Road,  Outside Hau Tak Estate",190.0,57.0,190.0,57.0
"Hong Keung Street,  Opposite Hong King Building","Prince Edward Road East,  Near Lamp Post No.khm33",190.0,57.0,190.0,57.0
Clear Water Bay Second Beach GMB Stand,Clear Water Bay Apartments,276.8571429,114.0,276.8571429,114.0
Clear Water Bay Apartments,"Tai Au Mun Road,  Near Tai Wan Tau Road",114.0,57.0,114.0,57.0
"Tai Au Mun Road,  Near Tai Wan Tau Road","Clear Water Bay Road,  Near Sheung Sze Wan Road",114.0,57.0,114.0,57.0
"Clear Water Bay Road,  Near Sheung Sze Wan Road","Clear Water Bay Road,  Near Ha Yeung Road",276.8571429,114.0,276.8571429,114.0
"Clear Water Bay Road,  Near Ha Yeung Road","Clear Water Bay Road,  Opposite Sheung Yeung",114.0,57.0,114.0,57.0
"Clear Water Bay Road,  Opposite Sheung Yeung","Clear Water Bay Road,  Near High Junk Peak Country Trail",114.0,57.0,114.0,57.0
"Clear Water Bay Road,  Near High Junk Peak Country Trail","Clear Water Bay Road,  Outside Wat Sum Village",276.8571429,114.0,276.8571429,114.0
"Clear Water Bay Road,  Outside Wat Sum Village","Clear Water Bay Road,  Opposite Silverstand Mart",276.8571429,114.0,276.8571429,114.0
"Clear Water Bay Road,  Opposite Silverstand Mart","Clear Water Bay Road,  Opposite Sussex Lodge",114.0,57.0,114.0,57.0
"Clear Water Bay Road,  Opposite Sussex Lodge","Hang Hau Road,  Opposite Tseung Kwan O Hospital",114.0,57.0,114.0,57.0
