route_id,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
2722_2,126.6666667,126.6666667,126.6666667,126.6666667
2003685_1,95,76,76,57
2003685_2,95,76,76,57
2803_1,76,38,0,0
2803_2,76,38,0,0
2003179_1,126.6666667,76,126.6666667,76
2003179_2,126.6666667,76,126.6666667,76
2001015_1,76,76,76,76
2001015_2,76,76,76,76
2001524_1,114,57,114,57
2001524_2,114,57,114,57
2001459_1,142.5,76,114,76
2001459_2,142.5,76,114,76
2001133_1,76,38,76,38
2001133_2,76,38,76,38
2001025_1,76,38,76,38
2001025_2,76,38,76,38
2001029_1,114,38,38,38
2001029_2,114,38,38,38
2726_1,142.5,38,142.5,38
2726_2,142.5,38,142.5,38
2164_1,228,76,228,76
2164_2,228,76,228,76
2002679_1,380,76,190,76
2002679_2,380,76,190,76
2266_1,76,38,76,38
2266_2,76,38,76,38
2267_1,38,38,38,38
2267_2,38,38,38,38
2002712_1,38,38,38,38
2002712_2,38,38,38,38
2002748_1,57,57,57,57
2002748_2,57,57,57,57
2268_1,76,38,76,38
2268_2,76,38,76,38
2856_1,76,76,76,76
2856_2,76,76,76,76
2166_1,380,285,380,285
2166_2,380,285,380,285
2378_1,114,57,114,57
2378_2,114,57,114,57
2780_1,57,57,57,57
2780_2,57,57,57,57
2379_1,76,57,76,57
2379_2,76,57,76,57
2781_1,57,57,57,57
2781_2,57,57,57,57
2380_1,57,45.6,57,45.6
2380_2,57,45.6,57,45.6
2775_1,57,57,57,57
2775_2,57,57,57,57
2382_1,51.81818182,45.6,51.81818182,45.6
2382_2,51.81818182,45.6,51.81818182,45.6
2383_1,190,87.69230769,190,87.69230769
2383_2,190,87.69230769,190,87.69230769
2001195_1,114,87.69230769,114,87.69230769
2001195_2,114,87.69230769,114,87.69230769
2001196_1,190,76,190,76
2001196_2,190,76,190,76
2269_1,285,190,190,190
2269_2,285,190,190,190
2001161_1,95,76,95,76
2001161_2,95,76,95,76
2405_1,142.5,76,142.5,76
2405_2,142.5,76,142.5,76
2453_1,228,76,228,76
2453_2,228,76,228,76
2613_1,114,57,95,57
2613_2,114,57,95,57
2732_1,114,57,76,57
2732_2,114,57,76,57
2683_1,228,142.5,228,142.5
2683_2,228,142.5,228,142.5
2880_1,114,76,114,76
2880_2,114,76,114,76
2684_1,285,126.6666667,142.5,114
2684_2,285,126.6666667,142.5,114
2273_1,162.8571429,76,76,76
2273_2,162.8571429,76,76,76
2167_1,76,57,76,57
2167_2,76,57,76,57
2003405_1,228,76,228,76
2003405_2,228,76,228,76
2168_1,285,45.6,285,45.6
2168_2,285,45.6,285,45.6
2003408_1,114,95,114,95
2003408_2,114,95,114,95
2274_1,380,228,380,228
2274_2,380,228,380,228
2275_1,190,114,190,114
2275_2,190,114,190,114
2276_1,380,228,380,228
2276_2,380,228,380,228
2277_1,114,57,114,57
2277_2,114,57,114,57
2278_1,57,57,57,57
2278_2,57,57,57,57
2070_1,228,142.5,228,142.5
2070_2,228,142.5,228,142.5
2500007_1,228,228,228,228
2500007_2,228,228,228,228
2071_1,142.5,114,142.5,114
2071_2,142.5,114,142.5,114
2510_1,142.5,142.5,142.5,142.5
2510_2,142.5,142.5,142.5,142.5
2282_1,114,76,114,76
2282_2,114,76,114,76
2170_1,38,38,38,38
2170_2,38,38,38,38
2667_1,114,76,114,76
2667_2,114,76,114,76
2283_1,114,57,114,57
2283_2,114,57,114,57
2897_1,142.5,95,95,95
2897_2,142.5,95,95,95
2284_1,162.8571429,126.6666667,162.8571429,126.6666667
2284_2,162.8571429,126.6666667,162.8571429,126.6666667
2000410_1,114,38,114,38
2000410_2,114,38,114,38
2172_1,57,57,57,57
2172_2,57,57,57,57
2000819_1,114,57,114,57
2000819_2,114,57,114,57
2285_1,285,114,285,114
2285_2,285,114,285,114
2000961_1,190,57,162.8571429,57
2000961_2,190,57,162.8571429,57
2839_1,285,95,142.5,95
2839_2,285,95,142.5,95
2286_1,76,76,76,76
2286_2,76,76,76,76
2174_1,285,126.6666667,285,126.6666667
2174_2,285,126.6666667,285,126.6666667
2175_1,190,114,190,114
2175_2,190,114,190,114
2176_1,190,126.6666667,190,126.6666667
2176_2,190,126.6666667,190,126.6666667
2774_1,76,57,76,57
2774_2,76,57,76,57
2418_1,142.5,95,142.5,95
2418_2,142.5,95,142.5,95
2710_1,114,76,114,76
2710_2,114,76,114,76
2419_1,114,95,114,95
2419_2,114,95,114,95
2289_1,142.5,76,142.5,76
2289_2,142.5,76,142.5,76
2621_1,76,76,76,76
2621_2,76,76,76,76
2446_1,95,57,76,57
2446_2,95,57,76,57
2003372_1,162.8571429,126.6666667,162.8571429,126.6666667
2003372_2,162.8571429,126.6666667,162.8571429,126.6666667
2476_1,285,285,285,285
2476_2,285,285,285,285
2616_1,114,114,114,114
2616_2,114,114,114,114
2829_1,114,76,114,76
2829_2,114,76,114,76
2291_1,76,57,76,57
2291_2,76,57,76,57
2420_1,114,76,114,76
2420_2,114,76,114,76
2685_1,57,57,57,57
2685_2,57,57,57,57
2820_1,57,57,57,57
2820_2,57,57,57,57
2641_1,76,57,76,57
2641_2,76,57,76,57
2422_1,114,95,114,95
2422_2,114,95,114,95
2434_1,76,45.6,76,45.6
2434_2,76,45.6,76,45.6
2448_1,228,114,228,114
2448_2,228,114,228,114
2404_1,380,114,380,114
2404_2,380,114,380,114
2500012_1,285,114,190,114
2500012_2,285,114,190,114
