stop_u,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
"Po Hong Road,  Outside Metro City",57.0,57.0,0.0,0.0
Po Fung Road opposite Verbena Heights,57.0,57.0,0.0,0.0
"Prince Edward Road East,  opposite to the Latitude",836.0,437.0,456.0,228.0
"Po Fung Road,  Outside Po Kim House,  Po Lam Estate",608.0,247.0,494.0,133.0
Sung Wong Toi Playground,171.0,171.0,0.0,0.0
"Ma Tau Chung Road,  Outside Sung Wong Toi Playground",171.0,171.0,0.0,0.0
"Po Lam Road North,  outside Ying Ming Court",57.0,57.0,0.0,0.0
"Ma Tau Chung Road,  Outside Fok On Building",171.0,171.0,0.0,0.0
Po Lam Road North outside Po Yan House of Po Lam Estate,57.0,57.0,0.0,0.0
"Po Lam Road North,  Outside Po Yan House,  Po Lam Estate",788.5,494.0,674.5,361.0
"Ma Tau Chung Road,  Outside The Hong Kong Federation Of Trade Unions Worker^s Club",361.0,285.0,190.0,114.0
No.187 Ma Tau Wai Road,646.0,393.57142856999997,361.0,222.57142857
"Po Lam Road North,  Opposite King Min House,  King Lam Estate",228.0,171.0,114.0,57.0
"Sheung Heung Road,  No.37",171.0,171.0,0.0,0.0
To Kwa Wan Mansion,171.0,171.0,0.0,0.0
World Wide Industrial Building,171.0,171.0,0.0,0.0
"Ko Shan Road,  Outside Ko Shan Theatre",228.0,209.0,57.0,38.0
232 Ma Tau Wai Road,57.0,57.0,0.0,0.0
"Po Lam Road North,  Outside Lok Sin Tong Lau Tak Primary School",1035.5,437.0,978.5,361.0
"Haven Of Hope Road,  Outside Haven Of Hope Hospital",57.0,57.0,57.0,45.6
"Mau Yip Road,  Outside Metro City Phase 2",57.0,57.0,57.0,45.6
"Yan King Road,  Outside Yan Mui House,  Yan Ming Court",285.0,133.0,285.0,121.6
Po Lam Station Public Transport Interchange,465.5,288.8,484.5,258.4
"Tong Ming Street,  opposite to Sheung Tak Shopping Centre",247.0,133.0,247.0,121.6
Choi Ming Public Transport Interchange,190.0,142.5,190.0,76.0
"Choi Ming Street,  Choi Ming Shopping Centre",570.0,361.0,570.0,228.0
"Chui Ling Road,  outside Ocean Shores",190.0,142.5,190.0,76.0
"Chui Ling Road,  opposite to Shin Ming Estate",190.0,142.5,190.0,76.0
"Chui Ling Road,  outside Qualied College",190.0,142.5,190.0,76.0
"Chui Ling Road,  outside Buddhist Ching Kok Secondary School",190.0,142.5,190.0,76.0
"Tong Chun Street,  outside Chi Lin Buddhist Primary School",190.0,142.5,190.0,76.0
"Tong Tak Street,  opposite to POH 80th Anniversary Tang Ying Hei College",190.0,142.5,190.0,76.0
"Po Yap Road,  outside Tseung Kwan O Station",190.0,142.5,190.0,76.0
"Po Yap Road,  Opposite Bauhinia Garden",190.0,142.5,190.0,76.0
"Po Hong Road,  outside Bevery Garden",190.0,142.5,190.0,76.0
"Po Hong Road,  outside Kwong Ming Court",190.0,142.5,190.0,76.0
"Ling Hong Road,  opposite to Haven of Hope Hospital",190.0,142.5,190.0,76.0
"Chung Wa Road,  opposite East Point City,  Block 6",190.0,142.5,190.0,76.0
"Pui Shing Road,  Outside Nam Fung Plaza",380.0,285.0,380.0,152.0
"Po Ning Road,  Outside Fu Ning Commercial Complex",570.0,218.5,570.0,152.0
Hang Hau (North) Public Transport Interchange,494.0,294.5,494.0,228.0
"Po Shun Road,  Opposite to Tseung Kwan O Swimming Pool",190.0,142.5,190.0,76.0
"Tong Ming Street,  outside Sheung Tak Shopping Centre",380.0,218.5,380.0,152.0
"Tong Chun Street,  opposite to Chi Lin Buddhist Primary School",190.0,142.5,190.0,76.0
