stop_u,max_c_weekday,min_c_weekday,max_c_weekend,min_c_weekend
"King Cho Road,  Opposite Clothing Industry Training Centre",408.5,197.6,294.5,197.6
"Lim Cho Street Eastbound,  Near Lai Chi Ling Road",370.5,190.0,285.0,190.0
"Wah King Hill Road,  Opposite Wah Lai Court,  Wah Yuen Chuen",826.5,368.6,551.0,387.6
"Wah King Hill Road,  Outside Block 8,  Wonderland Villas",218.5,121.6,218.5,121.6
"Wah King Hill Road,  Outside Block 18,  Wonderland Villas",218.5,121.6,218.5,121.6
Chai Wan Station,114.0,57.0,114.0,57.0
Chai Wan Road near Winner Centre,114.0,57.0,114.0,57.0
Chai Wan Road near Tak Hey House,114.0,57.0,114.0,57.0
Sheung On Street near Kailey Industrial Centre,114.0,57.0,114.0,57.0
Fung Yip Street near Yeung Yiu Sung Industrial Building,114.0,57.0,114.0,57.0
Siu Sai Wan Road near No. 8 Commercial Plaza,114.0,57.0,114.0,57.0
Siu Sai Wan Road near Lee Chi Hung Memorial Primary School,114.0,57.0,114.0,57.0
Chai Wan Road near Sun Tak House,114.0,57.0,114.0,57.0
San Ha Street near Chai Wan Municipal Services Building,114.0,57.0,114.0,57.0
"Wu King Road,  outside Wu Poon House of Wu King Estate",152.0,114.0,152.0,114.0
"Wu Shan Road,  outside Yeh King House of Siu Shan Court",76.0,57.0,76.0,57.0
"Tin King Road,  Leung King Bus Terminus",152.0,114.0,152.0,114.0
"Tsun Wen Road,  Outside Jockey Club Yan Oi Tong Swimming Pool",152.0,114.0,152.0,114.0
"Shek Pai Tau Road,  outside Greenland Garden",152.0,114.0,152.0,114.0
"Bute Street,  Mongkok",76.0,57.0,76.0,57.0
"Tsun Wen Road,  Opposite Tuen Mun School Dental Clinic",76.0,57.0,76.0,57.0
"Tsun Wen Road,  Outside Hing Wai House,  Tai Hing Estate",285.0,228.0,285.0,228.0
"Shun King Road,  Shun Lee Shopping Centre (Phase II)",570.0,285.0,570.0,285.0
"Chun Wah Road,  Outside Lok Sin Tong Yeung Chung Ming Primary School",570.0,285.0,570.0,285.0
"Chun Wah Road,  Outside Lok Wah Estate Community Centre",779.0,437.0,779.0,437.0
"Chun Wah Road,  Outside Nga Yee House,  Lok Nga Court",570.0,285.0,570.0,285.0
"Chun Wah Road,  Outside Kay Yue House,  On Kay Court",570.0,285.0,570.0,285.0
The bus stop on Ngau Tau Kok Road westbound near Ngau Tau Kok Fourth Street,570.0,285.0,570.0,285.0
"Ngau Tau Kok Road,  Opposite Lee Kee Building",570.0,285.0,570.0,285.0
"Kai Cheung Road,  Outside Kadar Building",570.0,285.0,570.0,285.0
The bus layby on Kai Cheung Road westbound outside Dai Cheong Car Service Centre Building,570.0,285.0,570.0,285.0
Lam Wah Street,570.0,285.0,570.0,285.0
"Lam Fung Street,  opposite Mega Box",285.0,142.5,285.0,142.5
"Wang Chiu Road,  Outside Proficient Industrial Centre",912.0,484.5,912.0,484.5
"Chun Wah Road,  Outside Jordan Valley Factory Estate",855.0,427.5,855.0,427.5
"Sheung Yuet Road,  Outside Enterprise Building",855.0,427.5,855.0,427.5
"Chun Wah Road,  Opposite Nga Yee House,  Lok Nga Court",1007.0,541.5,1007.0,541.5
The front portion of the PLB (Scheduled) Service Stand at Kowloon Bay Public Transport Terminus,570.0,285.0,570.0,285.0
"Chun Wah Road,  Opposite Lok Wah Estate Community Centre",1007.0,541.5,1007.0,541.5
The layby inside Mega Box,427.5,237.5,380.0,237.5
Shan Mei Street Bus Terminus,190.0,76.0,142.5,76.0
"Fo Tan Road Southbound,  Near Lok King Street",190.0,76.0,142.5,76.0
Sai Lau Kok Road - layby opposite Tsuen Wan Station Multi-storey Carpark Building,190.0,76.0,142.5,76.0
"Tsuen Wan Market Street,  Outside Tsuen Wan Market",342.0,171.0,294.5,159.6
"Fo Tan Road Northbound,  Near Fo Tan Tsuen",190.0,76.0,142.5,76.0
"Yuen Tun Circuit,  Outside Tsuen Wan Town Hall",266.0,152.0,266.0,140.6
Bus stop on Wai Tsuen Road outside Sam Tung Uk Garden,76.0,57.0,76.0,45.6
Tsuen Wan Station Multi-Storey Carpark,912.0,247.0,912.0,235.6
"Tai Wai Road,  Outside Kam Shan Building",152.0,76.0,152.0,76.0
"Mei Tin Road Roundabout,  Outside Mei Fung House Mei Lam Estate",152.0,76.0,152.0,76.0
Tung Lo Wan Hill Road,76.0,38.0,76.0,38.0
Chung Ling Road,76.0,38.0,76.0,38.0
Mei Tin Road,76.0,38.0,76.0,38.0
Tai Ho Road No.7-17,722.0,209.0,760.0,209.0
"Pamela Youde Nethersole Eastern Hospital,  Outside Main Block",893.0,513.0,893.0,513.0
"Tai Man Street,  Outside Neptune Terrace",760.0,228.0,760.0,228.0
"Lee Chung Street,  Outside Chai Wan Factory",380.0,114.0,380.0,114.0
"Tai Man Street,  Outside Block 4,  Koway Court",380.0,114.0,380.0,114.0
"Tin King Road,  Outside Leung King Commercial Complex",76.0,57.0,76.0,57.0
"Bute Street,  Near Carprio Mansion",76.0,57.0,76.0,57.0
"Wu King Road,  opposite Wu Poon House of Wu King Estate",76.0,57.0,76.0,57.0
"Wu Chui Road,  outside Block 10 of Melody Garden",76.0,57.0,76.0,57.0
"Shek Pai Tau Road,  Opposite Po Leung Kuk Vicwood K.T.chong No.2 Primary School",76.0,57.0,76.0,57.0
Tin Hau Station Bus Terminus,380.0,162.8571429,190.0,162.8571429
No.7-9 Ngan Mok Street,380.0,162.8571429,190.0,162.8571429
No. 39 Cloud View Road,380.0,162.8571429,190.0,162.8571429
"Braemar Hill Road,  Outside Braemar Hill Mansion",380.0,162.8571429,190.0,162.8571429
Bramear Hill Bus Terminus,380.0,162.8571429,190.0,162.8571429
Po Luen Path,380.0,162.8571429,190.0,162.8571429
"Tin Hau Temple Road,  Outside Pacific Palisades",380.0,162.8571429,190.0,162.8571429
No. 132 Tin Hau Temple Road,380.0,162.8571429,190.0,162.8571429
No. 30 Fortress Hill Road,380.0,162.8571429,190.0,162.8571429
Fortress Hill Station,380.0,162.8571429,190.0,162.8571429
"Shun On Road,  Opposite Shun Tin Estate Bus Terminus",380.0,162.8571429,190.0,162.8571429
"New Clear Water Bay Road,  Opposite Social Welfare Department Choi Wan Sheltered Workshop & Hostel",380.0,162.8571429,190.0,162.8571429
"Clear Water Bay Road,  Opposite Ping Shek Estate Catholic Primary School",380.0,162.8571429,190.0,162.8571429
"New Clear Water Bay Road,  Outside Boon Yuet House,  Choi Wan Estate",791.6666667,428.8571429,506.6666667,428.8571429
Tsz Tin Road,38.0,38.0,38.0,38.0
"Tsun Wen Road,  opposite Tuen Mun Catholic Secondary School",38.0,38.0,38.0,38.0
"Tsun Wen Road,  Outside Tuen Mun School Dental Clinic",38.0,38.0,38.0,38.0
Nan Fung Centre,38.0,38.0,38.0,38.0
Mei Foo Station bus stop,228.0,125.69230769,228.0,125.69230769
"Nathan Road,  outside Hollywood Plaza",133.0,114.0,133.0,114.0
"Lockhart Road,  Siu On Centre",38.0,38.0,38.0,38.0
"Lockhart Road,  Outside The Broadway",38.0,38.0,38.0,38.0
No.233-235 Hennessy Road,237.5,152.0,237.5,140.6
No.347 Hennessy Road,237.5,152.0,237.5,140.6
"Nathan Road,  near Shan Tung Street",133.0,114.0,133.0,114.0
"Lai Chi Kok Road,  Outside Phase 4 Mei Foo Sun Chuen",200.8571429,180.5,200.8571429,180.5
Lik Sang Plaza,38.0,38.0,38.0,38.0
"Tsun Wen Road,  outside Tuen Mun Catholic Secondary School",38.0,38.0,38.0,38.0
"Hong Kin Road,  Outside Ming Shun Village",142.5,57.0,142.5,45.6
"Hong Kin Road,  Outside Seaside Villas",142.5,57.0,142.5,45.6
"Hong Kin Road,  Ming Shun Village",142.5,57.0,142.5,45.6
Shek Pai Wan Estate Public Transport Interchange,1045.0,741.0,988.0,701.1
"Nam Ning Street,  Outside Hoi Tsing Court",503.5,294.5,503.5,254.6
No.178 Aberdeen Main Road,1700.5,815.1,1453.5,775.2
"Wong Chuk Hang Road,  house no. 23",1092.5,693.5,978.5,653.6
"Wong Chuk Hang Road,  house no. 49-51",902.5,617.5,902.5,577.6
"Wong Chuk Hang Road,  Eastbound Bus Bay Near Aberdeen Tunnel",826.5,579.5,826.5,539.6
No. 80-82 Morrison Hill Road,902.5,617.5,902.5,577.6
No.221 Wan Chai Road,427.5,256.5,427.5,216.6
No.187 Wan Chai Road,427.5,256.5,427.5,216.6
No.151 Wan Chai Road,427.5,256.5,427.5,216.6
"Fleming Road,  outside Tai Yau Building",199.5,114.0,199.5,102.6
"Lockhart Road,  outside Causeway Bay Plaza Phase 1",750.5,513.0,750.5,501.6
"Near President Theatre,  Cannon Street",541.5,380.0,541.5,368.6
No.160 Wan Chai Road,370.5,199.5,370.5,159.6
No.222 Wan Chai Road,142.5,57.0,142.5,45.6
"Morrison Hill Road,  bus stop outside Happy Valley Racecourse",370.5,199.5,370.5,159.6
"Wong Chuk Hang Road,  outside Wong Chuk Hang Recreation Ground",883.5,579.5,826.5,539.6
"Aberdeen Praya Road,  opposite to Aberdeen Bus Terminus",921.5,579.5,864.5,539.6
Opposite Sai On Street No.12,370.5,199.5,370.5,159.6
No. 168 Johnston Road,228.0,142.5,228.0,114.0
No. 128 Johnston Road,228.0,142.5,228.0,114.0
No. 76 Johnston Road,228.0,142.5,228.0,114.0
No. 60 Johnston Road,228.0,142.5,228.0,114.0
No. 3-5 Tai Wong Street East,228.0,142.5,228.0,114.0
No. 30 Tai Wong Street East,228.0,142.5,228.0,114.0
"Johnston Road,  Outside Southorn Playground",228.0,142.5,228.0,114.0
No. 141-147 Johnston Road,228.0,142.5,228.0,114.0
Wanchai Road No.222,228.0,142.5,228.0,114.0
"Nan Ning Street,  Outside Hoi Tsing Court",475.0,342.0,418.0,342.0
"Sai On Street,  Opposite No.12",361.0,285.0,361.0,285.0
"Aberdeen Main Road,  outside Kam Fung Building",114.0,57.0,57.0,57.0
Aberdeen Reservoir Road,142.5,142.5,142.5,142.5
"Yue Kwong Road,  outside Shek Pai Wan Estate",142.5,142.5,142.5,142.5
"48-50 Aberdeen Main Road,  Outside Yip Yee Mansion",380.0,133.0,352.8571429,133.0
"Shouson Hill Road,  house no. 3A",76.0,38.0,76.0,38.0
"Shouson Hill Road,  Near Shouson Hill Road West",76.0,38.0,76.0,38.0
"Shouson Hill Road East,  house no. 1",76.0,38.0,76.0,38.0
"Deep Water Bay Road,  Outside Manderly Garden",76.0,38.0,76.0,38.0
"Deep Water Bay Road,  Near Rockybank",76.0,38.0,76.0,38.0
"Wong Nai Chung Gap Road,  Opposite Hong Kong Cricket Club",76.0,38.0,76.0,38.0
"Blue Pool Road,  near Green Lane",76.0,38.0,76.0,38.0
"Morrison Hill Road,  house no. 32",152.0,76.0,152.0,76.0
"Wong Nai Chung Road,  house no. 11-11A",76.0,38.0,76.0,38.0
"Wong Nai Chung Road,  near Blue Pool Road",76.0,38.0,76.0,38.0
"Tai Hang Road,  junction with Wong Nai Chung Gap Road",76.0,38.0,76.0,38.0
"Wong Nai Chung Gap Road,  Outside Hong Kong Tennis Centre",76.0,38.0,76.0,38.0
"Deep Water Bay Road,  Near Lynx Hill",76.0,38.0,76.0,38.0
"Deep Water Bay Road,  Opposite Manderly Garden",76.0,38.0,76.0,38.0
"Shouson Hill Road East,  house no. 8",76.0,38.0,76.0,38.0
"Shouson Hill Road westbound,  Near Shouson Hill Road West",76.0,38.0,76.0,38.0
"Shouson Hill Road,  Opposite house no. 3A",76.0,38.0,76.0,38.0
"opposite to Wong Chuk Hang San Wai,  Wong Chuk Hang Road",304.0,133.0,304.0,133.0
"Wong Chuk Hang Road,  outside Wong Chuk Hang Sports Centre",76.0,38.0,76.0,38.0
"Wong Chuk Hang Road,  Wong Chuk Hang Recreation Ground",76.0,38.0,76.0,38.0
Yiu Tung Estate Bus Terminus,570.0,285.0,380.0,285.0
"Yiu Hing Road,  Outside Tung Shing Court",570.0,285.0,380.0,285.0
"Yiu Hing Road,  Opposite Smiling Shau Kei Wan Plaza",570.0,285.0,380.0,285.0
No. 137 Sai Wan Ho Street,570.0,285.0,380.0,285.0
No.12 Tai On Street,798.0,427.5,608.0,427.5
No. 8 Shing On Street,570.0,285.0,380.0,285.0
"Yiu Hung Road,  Opposite Hing Tung Shopping Centre",570.0,285.0,380.0,285.0
"Yiu Hing Road,  Outside Yiu Hei House",570.0,285.0,380.0,285.0
"Yiu Hing Road,  Outside Yiu Wah House",798.0,427.5,608.0,427.5
"United Christian Hospital,  Outside Sir Run Run Shaw Building",741.0,418.0,551.0,418.0
No.26-28 Yue Man Square,570.0,285.0,380.0,285.0
Northern Kerbside Lane Of Sau Nga Road At A Point About 95m East Of Its Junction With Hip Wo Street,570.0,285.0,380.0,285.0
"Wai Ming Road,  Opposite Flora Plaza",228.0,228.0,228.0,228.0
"Pak Wo Road,  Outside Yan Shing Court",228.0,228.0,228.0,228.0
"Yat Ming Road,  Outside Pak Fuk Tin Sum Playground",228.0,228.0,228.0,228.0
"Yat Ming Road,  Avon Park",228.0,228.0,228.0,228.0
"Yat Ming Road,  Dawning Views",266.0,266.0,266.0,266.0
Wo Hop Shek San Tsuen,228.0,228.0,228.0,228.0
Bus stop at Jockey Club Road westbound near Petrol Station,228.0,228.0,228.0,228.0
Fanling Town Centre,1035.5,570.0,893.0,558.6
Luen Hing Street outside Luen Wo Hui,228.0,228.0,228.0,228.0
Luen Fat Street (Lamp Post EA8498),304.0,266.0,304.0,266.0
Lok Yip Road,228.0,228.0,228.0,228.0
The bus layby on Wo Hing Road southbound opposite to Wo Hing Tsuen,370.5,304.0,323.0,304.0
"Yat Min Road,  opposite Avon Park",228.0,228.0,228.0,228.0
"Wah Ming Road,  Outside Yan Fai House,  Yan Shing Court",228.0,228.0,228.0,228.0
Yung Shing Court,114.0,114.0,114.0,114.0
San Fung Road,152.0,114.0,152.0,114.0
"Luen Wo Road,  Outside Luen Wo Hui Market",741.0,399.0,665.0,399.0
"Wah Ming Road,  Yung Shing Court",38.0,38.0,38.0,38.0
Wai Ming Street Yan Shing Court,38.0,38.0,38.0,38.0
"Yuen Wo Road,  Opposite Wo Che Commercial Centre",390.8571429,190.0,304.0,190.0
"Lung Cheung Road,  Tin Ma Court",38.0,38.0,38.0,38.0
"Lung Cheung Road,  Outside Yat Sin House,  Upper Wong Tai Sin Estate",38.0,38.0,38.0,38.0
"Lung Cheung Road,  Near Hsin Kuang Centre",38.0,38.0,38.0,38.0
"Ngau Tau Kok Road,  Outside Block C,  Amoy Gardens",38.0,38.0,38.0,38.0
"Ngau Tau Kok Road,  Outside Block 1,  Upper Ngau Tau Kok Estate",38.0,38.0,38.0,38.0
No.14-24 Yue Man Square,38.0,38.0,38.0,38.0
"Ngau Tau Kok Road,  Opposite Block I,  Amoy Gardens",38.0,38.0,38.0,38.0
"Lung Cheung Road,  Opposite Plaza Hollywood",164.6666667,114.0,164.6666667,114.0
"Lung Cheung Road,  Outside Wong Tai Sin Shopping Centre",38.0,38.0,38.0,38.0
"Lung Cheung Road,  Opposite Lung Cheung Mall",38.0,38.0,38.0,38.0
"Lung Cheung Road,  Near P.h.c. Wing Kwong College",38.0,38.0,38.0,38.0
"Lung Cheung Road,  Opposite Tin Ma Court",38.0,38.0,38.0,38.0
"Lion Rock Tunnel Road Northbound,  Outside Sun Tin Wai Estate",38.0,38.0,38.0,38.0
Yuen Wo Road outside Wo Che Estate,38.0,38.0,38.0,38.0
Kwong Fuk Road outside Kwong Fuk Estate,38.0,38.0,38.0,38.0
"On Cheung Road,  Outside Eightland Garden",38.0,38.0,38.0,38.0
Wah Ming Road outside Yung Shing Court,38.0,38.0,38.0,38.0
Wai Ming Street Outside Yan Shing Court,38.0,38.0,38.0,38.0
Yat Ming Road outside Dawning Views,38.0,38.0,38.0,38.0
The GMB stand at Ching Ho Estate Public Transport Interchange,142.5,76.0,95.0,76.0
The layby on Wah Ming Road eastbound outside Yan Fai House,427.5,228.0,285.0,228.0
The bus layby on Pak Wo Road eastbound outside Cheerful Park,285.0,152.0,190.0,152.0
The bus layby on Chiu Hiu Road westbound outside Tsang Mui Millennium School,142.5,76.0,95.0,76.0
The bus stop on Wah Ming Road eastbound outside Hong Ming House,427.5,228.0,285.0,228.0
The bus stop on Pak Wo Road southbound outside Ka Shing Court,285.0,152.0,190.0,152.0
The GMB stand on access road outside North District Hospital,285.0,152.0,190.0,152.0
The bus stop on Wah Ming Road eastbound outside Fong Shu Chuen Primary School (non-restricted zone),427.5,228.0,285.0,228.0
The bus layby on Pak Wo Road eastbound opposite to Kei San Secondary School,285.0,152.0,190.0,152.0
The bus stop on Pak Wo Road eastbound near Sheung Shui Government Secondary School (non-restricted zone),142.5,76.0,95.0,76.0
Wo Hing Road northbound outside Wo Hing Tsuen (non restricted zone),427.5,228.0,285.0,228.0
The bus stop on Pak Wo Road eastbound near Fanling Station,285.0,152.0,190.0,152.0
The bus stop on Tai Wo Service Road West southbound Ho Ka Yuen near Lamp Post N6149 (non-restricted zone),427.5,228.0,285.0,228.0
The bus stop on Tai Wo Service Road West southbound Kau Lung Hang opposite Lamp Post N7079 (non-restricted zone),427.5,228.0,285.0,228.0
The bus stop on Tai Wo Service Road West southbound near Nam Wah Po footbridge opposite Lamp Post N6095 (non-restricted zone),427.5,228.0,285.0,228.0
The bus stop on Tai Wo Service Road West southbound Tai Wo opposite Lamp Post EB5714 (non-restricted zone),427.5,228.0,285.0,228.0
The bus stop on Tai Wo Service Road West southbound Tai Hang opposite Lamp Post EB5705 (non-restricted zone),427.5,228.0,285.0,228.0
The bus stop on Tai Wo Service Road West southbound Chung Sum Wai opposite Lamp Post EB5699 (non-restricted zone),427.5,228.0,285.0,228.0
The bus stop on Tai Wo Service Road West southbound near Wai Tau Tsuen opposite Lamp Post EB9403 (non-restricted zone),427.5,228.0,285.0,228.0
The bus layby on Tai Po Tai Wo Road eastbound outside Tai Po Old Market Playground,427.5,228.0,285.0,228.0
The bus layby on Tai Po Tai Wo Road eastbound outside Tai Po Centre,427.5,228.0,285.0,228.0
The bus layby on Nam Wan Road northbound opposite to San Hing Garden,427.5,228.0,285.0,228.0
The bus layby on Chung Nga Road northbound outside Heng Wing House,427.5,228.0,285.0,228.0
The GMB stand at Tai Po Nethersole Hospital,427.5,228.0,285.0,228.0
The bus stop on Chung Nga Road southbound opposite Stewards Pooi Yin Primary School (non-restricted zone),142.5,76.0,95.0,76.0
The bus stop on Chung Nga Road southbound opposite S.k.h. Yuen Chen Maun Chen Jubilee Primary School,142.5,76.0,95.0,76.0
The bus stop on Chung Nga Road southbound opposite Sacred Heart Of Mary Catholic Primary School (non-restricted zone),142.5,76.0,95.0,76.0
The bus stop on Nam Wan Road southbound outside Sun Hing Garden,142.5,76.0,95.0,76.0
The bus stop on Tai Po Tai Wo Road westbound opposite to Tai Po Centre,142.5,76.0,95.0,76.0
The bus stop on Tai Po Tai Wo Road westbound near Lam Tsuen River Side,142.5,76.0,95.0,76.0
The bus stop on Tai Po Road Tai Wo westbound outside Parc Versailles (non-restricted zone),142.5,76.0,95.0,76.0
The bus stop on Tai Po Road Tai Wo westbound opposite Hong Lok Yuen (non-restricted zone),142.5,76.0,95.0,76.0
The bus stop on Tai Wo Service Road West northbound outside Wai Tau Tsuen (non-restricted zone),142.5,76.0,95.0,76.0
The bus stop on Tai Wo Service Road West northbound Chung Sum Wai near Lamp Post EB5698 (non-restricted zone),142.5,76.0,95.0,76.0
The bus stop on Tai Wo Service Road West northbound Tai Hang near Lamp Post EB5707 (non-restricted zone),142.5,76.0,95.0,76.0
The bus stop on Tai Wo Service Road West northbound Tai Wo near Lamp Post EB5716 (non-restricted zone),142.5,76.0,95.0,76.0
The bus stop on Tai Wo Service Road West northbound Nam Wah Po near Lamp Post N6101 (non-restricted zone),142.5,76.0,95.0,76.0
The bus stop on Tai Wo Service Road West northbound Kau Lung Hang near Lamp Post N7079 (non-restricted zone),142.5,76.0,95.0,76.0
The bus stop on Tai Wo Service Road West northbound Ho Ka Yuen near Lamp Post N6172 (non-restricted zone),142.5,76.0,95.0,76.0
Wah Ming Road westbound opposite to Chung Ming House,142.5,76.0,95.0,76.0
Wah Ming Road westbound outside Cheong Tao House,142.5,76.0,95.0,76.0
The bus layby on Wah Ming Road westbound opposite to Yan Shing Court,142.5,76.0,95.0,76.0
The bus layby on Pak Wo Road westbound outside Fung Ying Sin Koon,142.5,76.0,95.0,76.0
The bus layby on Pak Wo Road westbound outside Kei San Secondary School,142.5,76.0,95.0,76.0
The bus layby on Pak Wo Road northbound opposite to Ka Shing Court,142.5,76.0,95.0,76.0
The bus layby on Pak Wo Road westbound outside Glamour Garden,142.5,76.0,95.0,76.0
The bus stop on Pak Wo Road westbound outside Ng Uk Tsuen (non-restricted zone),142.5,76.0,95.0,76.0
The bus layby on Ching Hiu Road eastbound outside Royal Green,142.5,76.0,95.0,76.0
"Sheung Shui Station,  Sheung Shui Plaza",1457.81818182,670.7,1457.81818182,670.7
Po Shek Wu Road,427.5,218.5,427.5,218.5
Golf Parkview,1490.6363636400001,571.9,1490.6363636400001,571.9
Castle Peak Road/Kwu Tung Road near Yin Kong,1444.0,509.2,1444.0,509.2
Kwu Tung,494.0,121.6,494.0,121.6
Kam Tsin Village,228.0,152.0,228.0,152.0
"Europa Garden (Phase 3),  Kwu Tung Road",114.0,76.0,114.0,76.0
"Po Shek Wu Road,  Outside Tung Hing School",1254.0,473.1,1254.0,473.1
"San Fung Avenue,  Shek Wu Hui Post Office",2175.5,775.2,2175.5,775.2
"Po Shek Wu Road,  Outside Choi Ngan Court,  Choi Po Court",598.5,121.6,598.5,121.6
Hong Kong Girl Guides Association Jockey Club Beas River Lodge,760.0,91.2,760.0,91.2
"Hang Tau Road,  Outside Richmond Garden",380.0,45.6,380.0,45.6
"Tin Wan Estate Road,  Outside Tin Chak House",447.8571429,190.0,447.8571429,190.0
"Tin Wan Estate Road,  Outside Hung Chak House",285.0,95.0,285.0,95.0
"Wu Nam Street,  Outside Ping On House",855.0,247.0,855.0,247.0
"Tsung Man Street,  Outside Wah Lee House",855.0,247.0,855.0,247.0
No.53 Shek Pai Wan Road,827.8571429,266.0,637.8571429,266.0
Tin Wan Street and Ka Wo Street Junction,285.0,95.0,285.0,95.0
Tin Wan Estate Road Opposite Tin Kin House,610.7142858,285.0,610.7142858,285.0
Wah Kwai Estate Bus Terminus,732.8571429,247.0,732.8571429,247.0
Tin Wan Praya Road outside Hing Wai Centre,732.8571429,247.0,732.8571429,247.0
Ma Tso Lung Road near Shun Yee Sun Tsuen,171.0,85.5,171.0,85.5
Liu Pok Road near public carpark,114.0,57.0,114.0,57.0
Castle Peak Road and Ho Sheung Heung Road Interchange,787.63636364,509.20000000000005,787.63636364,509.20000000000005
MA TSO LUNG (OUTSIDE COMMUNITY SPORTS LIMITED ),57.0,28.5,57.0,28.5
"Po Shek Wu Road,  Opposite Tung Hing School",114.0,76.0,114.0,76.0
"Ho Sheung Heung Pai Tau Road,  Kui Shek Hau Ancestral Hall",342.0,228.0,342.0,228.0
Ho Sheung Heung Road near Lo Wu Correctional Complex entrance gate,114.0,76.0,114.0,76.0
Richland Gardens Shopping Centre & Car Park,1254.0,342.0,494.0,342.0
"Kai Lok Street,  Lamp Post No. E2618",1140.0,285.0,380.0,285.0
"Siu Yip Street,  Telford Plaza Bus Terminus",1140.0,285.0,380.0,285.0
"Kai Lok Street,  Outside Kowloon Bay Sports Ground",1140.0,285.0,380.0,285.0
Shek Pai Wan Road,570.0,152.0,570.0,152.0
Shek Pai Wan,228.0,95.0,228.0,95.0
"Yue Fai Road,  Aberdeen Old Main Street",228.0,95.0,228.0,95.0
"Yip Yee Mansion,  Aberdeen Main Road",228.0,95.0,228.0,95.0
"Cape Road,  Oppoaite Koon Ma House",228.0,95.0,228.0,95.0
opposite Leung Ma House,228.0,95.0,228.0,95.0
opposite Chun Ma House,228.0,95.0,228.0,95.0
"Cape Road,  Outside Stanley Plaza",456.0,190.0,456.0,190.0
"Cape Road,  Outside Lung Tan House",228.0,95.0,228.0,95.0
"Nam Long Shan Road,  Wong Chuk Hang Road",532.0,190.0,504.8571429,190.0
"Aberdeen Praya Road,  Outside Aberdeen Promenade,  Near Lamp Post No.23705",228.0,95.0,228.0,95.0
"Yue Kwong Chuen ,  Aberdeen Reservoir Road",228.0,95.0,228.0,95.0
"Hoy Au Lau,  Aberdeen Reservoir Road",228.0,95.0,228.0,95.0
"Construction IndustryTraining Authority, Yue Kwong Road",228.0,95.0,228.0,95.0
"Shek Pai Wan Estate, Yue Kwong Road",228.0,95.0,228.0,95.0
"Yue Fai Court, Yue Kwong Road",228.0,95.0,228.0,95.0
"Ngan Chuk Lane,  Opposite Chuk Yuen South Estate Cooked Food Stalls",228.0,95.0,228.0,95.0
"Fung Tak Road,  Opposite Wong Tai Sin Divisional Fire Station",418.0,221.6666667,418.0,221.6666667
No.23 Tai Yau Street,228.0,95.0,228.0,95.0
No.31 Tai Yau Street,228.0,95.0,228.0,95.0
Tai Shing Street outside Tai Shing Secondary School,228.0,95.0,228.0,95.0
Fanling Station,1054.5,950.0,1026.0,950.0
"Wo Mun Street Public Light Bus Terminus,  Outside Regent Ville",1985.5,1672.0,1957.0,1672.0
"Fan Leng Lau Road,  Opposite Fanling Rhenish Church Secondary School",788.5,646.0,760.0,646.0
"San Wan Road,  Outside Cheung Chung House,  Cheung Wah Estate",1026.0,912.0,1026.0,912.0
"Wo Mun Street,  Outside Belair Monte",380.0,380.0,380.0,380.0
Fang Leng Lau,693.5,285.0,551.0,273.6
San Uk Tsuen / Kan Lung Wai,437.0,190.0,304.0,167.2
Lau Shui Heung,285.0,114.0,152.0,91.2
Hok Tau Wai,142.5,57.0,76.0,45.6
Cheung Chung House,361.0,190.0,266.0,178.6
No.17 Wo Lung Street,399.0,152.0,323.0,152.0
Sha Tau Kok Road near Kwan Tei,570.0,228.0,570.0,228.0
"Ping Che Road,  Outside Caritas Fung Wong Fung Ting Home",285.0,114.0,285.0,114.0
"San Wan Road,  Opposite Cheung Chung House,  Cheung Wah Estate",399.0,152.0,323.0,152.0
"Kam Chuk Lane,  Outside Wang Mei House,  Tin Wang Court",285.0,142.5,142.5,142.5
"Tin Ma Court,  Outside Tin Ma Court Commercial Centre",285.0,142.5,142.5,142.5
"Man Kwong Street,  Pier No.7",142.5,114.0,142.5,114.0
"Connaught Road Central,  No.25",142.5,114.0,142.5,114.0
Queen^s Road West No. 476,142.5,114.0,142.5,114.0
Queen^s Road West No.546,142.5,114.0,142.5,114.0
Belcher^s Street No.46,237.5,190.0,218.5,171.0
Belcher^s Street No.102,142.5,114.0,142.5,114.0
Belcher^s Street No.142,142.5,114.0,142.5,114.0
Victoria Road near Ka Wai Man Road,142.5,114.0,142.5,114.0
Victoria Road opposite Serene Court,285.0,228.0,285.0,228.0
Junction of Mt. Davis Road and Victoria Road,285.0,228.0,285.0,228.0
Mt. Davis Road outside St Clare^s Girls^ College,142.5,114.0,142.5,114.0
Mt. Davis Road outside Greenery Garden,142.5,114.0,142.5,114.0
"Queen Mary Hospital,  Block J",142.5,114.0,142.5,114.0
Mount Davis Road opposite Greenery Garden,142.5,114.0,142.5,114.0
Mt. Davis Road opposite St Clare^s Girls^ College,142.5,114.0,142.5,114.0
Victoria Road outside Kennedy Town Terminus,142.5,114.0,142.5,114.0
Catchick Street outside Hse. No. 98,237.5,190.0,218.5,171.0
Junction of Kennedy Town Praya and Sai Cheung Street,142.5,114.0,142.5,114.0
Des Voeux Road West opposite Kwan Yick Building Phase 1,142.5,114.0,142.5,114.0
Connaught Road West and Hill Road Junction,142.5,114.0,142.5,114.0
Connaught Road West outside Sun Yat Sen Memorial Park,142.5,114.0,142.5,114.0
