"from_station_id","to_station_id","fare_octo_adult","fare_octo_child","fare_octo_elderly","fare_octo_pwd","fare_octo_student","fare_single_adult","fare_single_child","fare_single_elderly"
"15","560",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"15","570",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"15","580",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"15","590",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"15","600",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"20","1",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"20","10",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"20","15",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"20","20",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"20","30",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"20","240",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"20","250",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"20","260",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"20","265",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"20","920",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"20","40",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"20","50",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"20","60",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"20","70",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"20","75",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"20","80",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"20","170",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"20","180",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"20","190",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"20","200",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"20","212",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"20","220",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"20","230",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"20","270",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"20","275",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"20","280",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"20","295",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"20","300",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"20","310",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"20","320",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"20","330",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"20","90",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"20","100",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"20","110",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"20","120",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"20","130",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"20","140",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"20","150",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"20","160",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"20","340",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"20","350",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"20","360",5.80,2.80,2.00,2.00,2.80,6.50,3.50,3.50
"20","370",5.80,2.80,2.00,2.00,2.80,6.50,3.50,3.50
"20","380",5.80,2.80,2.00,2.00,2.80,7.50,4.00,4.00
"20","390",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"20","400",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"20","425",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"20","430",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"20","435",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"20","445",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"20","448",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"20","450",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"20","455",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"20","460",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"20","490",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"20","500",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"20","468",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"20","480",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"20","510",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"20","520",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"20","530",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"20","540",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"20","550",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"20","560",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"20","570",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"20","580",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"20","590",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"20","600",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"30","1",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"30","10",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"30","15",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"30","20",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"30","30",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"30","240",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"30","250",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"30","260",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"30","265",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"30","920",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"30","40",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"30","50",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"30","60",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"30","70",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"30","75",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"30","80",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"30","170",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"30","180",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"30","190",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"30","200",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"30","212",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"30","220",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"30","230",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"30","270",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"30","275",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"30","280",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"30","295",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"30","300",5.00,2.10,2.00,2.00,2.10,5.50,2.50,2.50
"30","310",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"30","320",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"30","330",5.10,2.40,2.00,2.00,2.40,5.50,2.50,2.50
"30","90",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"30","100",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"30","110",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"30","120",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"30","130",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"30","140",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"30","150",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"30","160",5.00,2.10,2.00,2.00,2.10,6.50,3.50,3.50
"30","340",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"30","350",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"30","360",5.10,2.40,2.00,2.00,2.40,6.50,3.50,3.50
"30","370",5.80,2.80,2.00,2.00,2.80,6.50,3.50,3.50
"30","380",5.80,2.80,2.00,2.00,2.80,7.50,4.00,4.00
"30","390",5.80,2.80,2.00,2.00,2.80,7.50,4.00,4.00
"30","400",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"30","425",5.80,2.80,2.00,2.00,2.80,7.50,4.00,4.00
"30","430",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"30","435",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"30","445",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"30","448",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"30","450",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"30","455",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"30","460",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"30","490",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"30","500",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"30","468",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"30","480",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"30","510",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"30","520",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"30","530",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"30","540",7.30,3.60,2.00,2.00,3.60,7.50,4.00,4.00
"30","550",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"30","560",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"30","570",6.20,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"30","580",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"30","590",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"30","600",7.00,3.10,2.00,2.00,3.10,7.50,4.00,4.00
"240","1",4.80,2.10,2.00,2.00,2.10,5.50,2.50,2.50
